iter   i     a     b      Smsy      Emin
378 20 1.555984 120457.2 47318.37 19050.44
379 20 1.749299 79790.85 30225.65 19050.44
380 20 2.059051 69247.61 24690.63 19050.44
381 20 1.668857 103548.2 39828.43 19050.44
382 20 1.614792 109622.5 42594.57 19050.44
383 20 1.610405 90430.32 35166.1 19050.44
384 20 2.128496 72962.18 25655.47 19050.44
385 20 1.740507 76486.34 29022.53 19050.44
386 20 1.399174 131774 53261.99 19050.44
387 20 1.884232 71027.08 26214.13 19050.44
388 20 1.66438 130308.1 50163.55 19050.44
389 20 1.257484 127291.1 52753.23 19050.44
390 20 2.343793 61299.51 20630.46 16504.36
391 20 1.791267 56082.52 21074.5 16859.6
392 20 1.341837 56430.85 23043.01 18434.41
393 20 2.019495 60689.16 21810.18 17448.14
394 20 1.361702 183554.9 74689.24 19050.44
395 20 2.140844 56306.24 19749.61 15799.69
396 20 1.718928 127513.2 48583.72 19050.44
397 20 1.848549 48316.01 17956.28 14365.02
398 20 1.766022 86558.61 32684.65 19050.44
399 20 1.024842 77881442 33574088 19050.44
400 20 1.141617 254227.9 107476.6 19050.44
401 20 1.954514 76229.75 27749.45 19050.44
402 20 1.461495 92408.35 36933.42 19050.44
403 20 1.391777 139619 56507.65 19050.44
404 20 1.581109 115449.2 45140.66 19050.44
405 20 1.863774 60407.81 22383.83 17907.06
406 20 1.62081 82843.52 32153.26 19050.44
407 20 1.535985 75339.78 29704.5 19050.44
408 20 1.271788 156664.7 64765.01 19050.44
409 20 1.63498 81752.36 31645.75 19050.44
410 20 1.785811 64601.04 24301.03 19050.44
411 20 1.735386 55672.58 21145.44 16916.35
412 20 1.983223 53380.1 19321.87 15457.49
413 20 1.555103 78398.45 30801.72 19050.44
414 20 1.166588 98684.44 41542.86 19050.44
415 20 1.272587 151832.9 62758.8 19050.44
416 20 1.592379 81488.23 31795.3 19050.44
417 20 1.882998 102975.1 38014.41 19050.44
418 20 2.248034 57392.65 19698.01 15758.41
419 20 2.211567 62247.38 21523.32 17218.65
420 20 1.87604 102183.4 37773.29 19050.44
421 20 1.644303 92863.7 35884.09 19050.44
422 20 2.436534 45366.19 14978.62 11982.89
423 20 2.030726 60515.6 21699.31 17359.45
424 20 1.760504 89775.52 33935.19 19050.44
425 20 1.557162 75241.1 29550 19050.44
426 20 1.768128 70191.56 26493.75 19050.44
427 20 1.825678 59876.46 22351.4 17881.12
428 20 2.021444 48500.22 17423.03 13938.42
429 20 0.9108539 641601.7 281765.8 19050.44
430 20 1.707316 91800.95 35054.21 19050.44
431 20 2.100375 77157.12 27284.25 19050.44
432 20 1.759555 107007.5 40456.21 19050.44
